Address,found_address,coordinates,District
"օհանովի փողոց, երևան","Armenia, Yerevan, Ohanov Street","40.179944,44.447814",Մալաթիա-Սեբաստիա
"նորաշեն թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Ajapnyak, Norashen Quarter","40.213333,44.469634",Աջափնյակ
"սուրբ գրիգոր լուսավորչի փողոց, երևան","Armenia, Yerevan, Surb Grigor Lusavorich Street","40.17419,44.505854",Կենտրոն
"գյուլբենկյան փողոց, երևան","Armenia, Yerevan, Gyulbenkyan Street","40.200005,44.496116",Արաբկիր
"ադոնցի փողոց, երևան","Armenia, Yerevan, Adonts Street","40.212375,44.522967",Արաբկիր
"լենինգրադյան փողոց 48, երևան","Armenia, Yerevan, Kirk Kerkorian Street, 48","40.191298,44.466346",Աջափնյակ
"մանանդյան փողոց, երևան","Armenia, Yerevan, Manandyan Street","40.150688,44.483154",Շենգավիթ
"արշակունյաց պողոտա 39/9, երևան","Armenia, Yerevan, Arshakunyats Avenue, 39/9","40.157195,44.503599",Շենգավիթ
"բրյուսովի փողոց 21, երևան","Armenia, Yerevan, Bryusov Street, 21","40.167354,44.502845",Կենտրոն
"սողոմոն տարոնցի փողոց, երևան","Armenia, Yerevan, Soghomon Taronts Street","40.145917,44.485166",Շենգավիթ
"պարույր սևակի փողոց, երևան","Armenia, Yerevan, Paruyr Sevak Street","40.205219,44.539613",Քանաքեռ-Զեյթուն
"սասնա ծռերի փողոց, երևան","Armenia, Yerevan, Sasna Tsrer Street","40.214125,44.489433",Դավթաշեն
"վազգեն սարգսյան փողոց, երևան","Armenia, Yerevan, Vazgen Sargsyan Street","40.176995,44.510624",Կենտրոն
"գոգոլի փողոց, երևան","Armenia, Yerevan, Gogol Street","40.198655,44.543763",Քանաքեռ-Զեյթուն
"արշակունյաց պողոտա, երևան","Armenia, Yerevan, Arshakunyats Avenue","40.148909,44.497751",Շենգավիթ
"լենինգրադյան փողոց, երևան","Armenia, Yerevan, Kirk Kerkorian Street","40.191236,44.471044",Աջափնյակ
"դավթաշեն 4-րդ թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Davtashen, Davtashen 4th Block","40.222106,44.499853",Դավթաշեն
"դերենիկ դեմիրճյանի փողոց, երևան","Armenia, Yerevan, The Administrative District of Kentron, Poqr Kentron District, Old Yerevan Quarter","40.180102,44.512268",Կենտրոն
"աճառյան փողոց, երևան","Armenia, Yerevan, Acharyan Street","40.223249,44.56022",Ավան
