Price,Type,New_building,nFloor,Floor,Height,Sqm,Rooms,Bathrooms,Renovation,Balcony,Currency,District
95000.0,Պանելային,Ոչ,9,6,2.8,68,2,1,Կապիտալ վերանորոգված,Փակ պատշգամբ,$,Մալաթիա-Սեբաստիա
87000.0,Մոնոլիտ,Այո,12,6,3.0,46,2,1,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Աջափնյակ
130000.0,Քարե,Ոչ,4,2,3.0,50,1,1,Մասնակի վերանորոգում,Փակ պատշգամբ,$,Կենտրոն
145000.0,Քարե,Ոչ,5,1,2.75,70,3,1,Կապիտալ վերանորոգված,Մի քանի պատշգամբ,$,Արաբկիր
160000.0,Մոնոլիտ,Այո,8,5,3.0,47,2,1,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Արաբկիր
150000.0,Քարե,Ոչ,5,5,2.75,75,3,1,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Աջափնյակ
65000.0,Քարե,Ոչ,5,3,2.75,36,1,1,Մասնակի վերանորոգում,Փակ պատշգամբ,$,Շենգավիթ
155000.0,Քարե,Ոչ,4,2,3.5,120,3,2,Եվրովերանորոգված,Առկա չէ,$,Շենգավիթ
115000.0,Պանելային,Ոչ,16,13,3.0,92,3,1,Կոսմետիկ վերանորոգում,Առկա չէ,$,Կենտրոն
61000.0,Պանելային,Ոչ,4,2,2.6,31,1,1,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Շենգավիթ
205000.0,Մոնոլիտ,Այո,15,10,3.0,98,3,2,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Քանաքեռ-Զեյթուն
98000.0,Մոնոլիտ,Ոչ,16,16,2.8,80,3,2,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Աջափնյակ
175000.0,Մոնոլիտ,Այո,17,6,3.0,65,3,1,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Դավթաշեն
2400000.0,Մոնոլիտ,Այո,9,4,3.0,200,4,3,Դիզայներական ոճով վերանորոգված,Բաց պատշգամբ,$,Կենտրոն
147000.0,Մոնոլիտ,Այո,16,4,3.0,98,3,1,Չվերանորոգված,Մի քանի պատշգամբ,$,Քանաքեռ-Զեյթուն
107000.0,Պանելային,Ոչ,9,1,2.75,85,3,1,Կոսմետիկ վերանորոգում,Առկա չէ,$,Շենգավիթ
120000.0,Մոնոլիտ,Այո,16,7,3.0,71,3,1,Չվերանորոգված,Բաց պատշգամբ,$,Աջափնյակ
172000.0,Մոնոլիտ,Այո,15,13,3.0,94,3,3,Դիզայներական ոճով վերանորոգված,Մի քանի պատշգամբ,$,Դավթաշեն
205000.0,Պանելային,Ոչ,9,5,2.75,85,3,1,Կոսմետիկ վերանորոգում,Առկա չէ,$,Կենտրոն
98000.0,Քարե,Ոչ,5,5,2.75,81,3,1,Կոսմետիկ վերանորոգում,Մի քանի պատշգամբ,$,Ավան
145000.0,Մոնոլիտ,Այո,17,10,2.8,100,3,2,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Մալաթիա-Սեբաստիա
225000.0,Պանելային,Ոչ,11,5,2.8,69,3,1,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Կենտրոն
90000.0,Պանելային,Ոչ,9,7,2.75,93,4,2,Կոսմետիկ վերանորոգում,Փակ պատշգամբ,$,Քանաքեռ-Զեյթուն
103000.0,Պանելային,Ոչ,14,6,2.7,67,2,1,Հին վերանորոգում,Փակ պատշգամբ,$,Արաբկիր
265000.0,Մոնոլիտ,Այո,12,11,3.0,94,3,1,Դիզայներական ոճով վերանորոգված,Բաց պատշգամբ,$,Արաբկիր
168000.0,Քարե,Ոչ,4,4,3.0,66,2,1,Մասնակի վերանորոգում,Բաց պատշգամբ,$,Արաբկիր
350000.0,Մոնոլիտ,Այո,19,11,3.2,63,2,1,Եվրովերանորոգված,Բաց պատշգամբ,$,Կենտրոն
169000.0,Քարե,Ոչ,5,2,3.2,90,3,2,Մասնակի վերանորոգում,Մի քանի պատշգամբ,$,Արաբկիր
280000.0,Մոնոլիտ,Այո,5,4,3.0,138,4,3,Չվերանորոգված,Բաց պատշգամբ,$,Նորք-Մարաշ
1100000.0,Մոնոլիտ,Այո,17,6,3.0,196,4,2,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Կենտրոն
135000.0,Պանելային,Ոչ,10,3,2.8,78,3,2,Եվրովերանորոգված,Փակ պատշգամբ,$,Կենտրոն
76000.0,Պանելային,Ոչ,9,3,2.7,53,1,1,Կոսմետիկ վերանորոգում,Փակ պատշգամբ,$,Մալաթիա-Սեբաստիա
135000.0,Պանելային,Ոչ,9,6,2.7,74,3,1,Կապիտալ վերանորոգված,Փակ պատշգամբ,$,Դավթաշեն
105000.0,Պանելային,Ոչ,9,4,2.75,76,4,1,Կապիտալ վերանորոգված,Առկա չէ,$,Նոր Նորք
77000.0,Պանելային,Ոչ,4,2,2.8,53,2,1,Կոսմետիկ վերանորոգում,Փակ պատշգամբ,$,Շենգավիթ
515000.0,Մոնոլիտ,Այո,14,12,3.0,133,4,2,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Կենտրոն
108000.0,Պանելային,Ոչ,16,10,2.8,71,3,2,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Արաբկիր
90000.0,Պանելային,Ոչ,14,5,2.5,40,2,1,Կապիտալ վերանորոգված,Առկա չէ,$,Կենտրոն
207000.0,Պանելային,Ոչ,10,7,2.8,95,3,1,Հին վերանորոգում,Փակ պատշգամբ,$,Կենտրոն
105000.0,Քարե,Ոչ,5,3,3.0,57,2,1,Հին վերանորոգում,Փակ պատշգամբ,$,Արաբկիր
68000.0,Պանելային,Ոչ,9,5,2.75,45,1,1,Կոսմետիկ վերանորոգում,Փակ պատշգամբ,$,Մալաթիա-Սեբաստիա
192000.0,Քարե,Ոչ,3,2,3.0,52,2,1,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Կենտրոն
97000.0,Պանելային,Այո,9,6,2.8,87,3,1,Եվրովերանորոգված,Մի քանի պատշգամբ,$,Մալաթիա-Սեբաստիա
120000.0,Պանելային,Ոչ,9,1,2.75,75,3,2,Եվրովերանորոգված,Փակ պատշգամբ,$,Մալաթիա-Սեբաստիա
165000.0,Մոնոլիտ,Այո,10,3,3.0,90,3,2,Չվերանորոգված,Բաց պատշգամբ,$,Մալաթիա-Սեբաստիա
120000.0,Մոնոլիտ,Այո,8,4,3.0,54,2,1,Չվերանորոգված,Բաց պատշգամբ,$,Արաբկիր
97000.0,Պանելային,Ոչ,10,1,2.75,82,3,1,Հին վերանորոգում,Փակ պատշգամբ,$,Արաբկիր
135000.0,Մոնոլիտ,Այո,11,4,3.0,70,2,1,Եվրովերանորոգված,Բաց պատշգամբ,$,Դավթաշեն
202000.0,Քարե,Ոչ,4,3,3.2,60,3,1,Դիզայներական ոճով վերանորոգված,Բաց պատշգամբ,$,Կենտրոն
102000.0,Պանելային,Ոչ,9,5,2.75,85,3,1,Հին վերանորոգում,Բաց պատշգամբ,$,Աջափնյակ
188000.0,Պանելային,Ոչ,11,7,2.75,83,3,1,Եվրովերանորոգված,Մի քանի պատշգամբ,$,Կենտրոն
