id,Address,found_address,coordinates
0,"օհանովի փողոց, երևան","Armenia, Yerevan, Ohanov Street","40.179944,44.447814"
1,"նորաշեն թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Ajapnyak, Norashen Quarter","40.213333,44.469634"
2,"սուրբ գրիգոր լուսավորչի փողոց, երևան","Armenia, Yerevan, Surb Grigor Lusavorich Street","40.17419,44.505854"
3,"գյուլբենկյան փողոց, երևան","Armenia, Yerevan, Gyulbenkyan Street","40.200005,44.496116"
4,"ադոնցի փողոց, երևան","Armenia, Yerevan, Adonts Street","40.212375,44.522967"
5,"լենինգրադյան փողոց 48, երևան","Armenia, Yerevan, Kirk Kerkorian Street, 48","40.191298,44.466346"
6,"մանանդյան փողոց, երևան","Armenia, Yerevan, Manandyan Street","40.150688,44.483154"
7,"արշակունյաց պողոտա 39/9, երևան","Armenia, Yerevan, Arshakunyats Avenue, 39/9","40.157195,44.503599"
8,"բրյուսովի փողոց 21, երևան","Armenia, Yerevan, Bryusov Street, 21","40.167354,44.502845"
9,"սողոմոն տարոնցի փողոց, երևան","Armenia, Yerevan, Soghomon Taronts Street","40.145917,44.485166"
10,"պարույր սևակի փողոց, երևան","Armenia, Yerevan, Paruyr Sevak Street","40.205219,44.539613"
12,"սասնա ծռերի փողոց, երևան","Armenia, Yerevan, Sasna Tsrer Street","40.214125,44.489433"
13,"վազգեն սարգսյան փողոց, երևան","Armenia, Yerevan, Vazgen Sargsyan Street","40.176995,44.510624"
14,"գոգոլի փողոց, երևան","Armenia, Yerevan, Gogol Street","40.198655,44.543763"
15,"արշակունյաց պողոտա, երևան","Armenia, Yerevan, Arshakunyats Avenue","40.148909,44.497751"
16,"լենինգրադյան փողոց, երևան","Armenia, Yerevan, Kirk Kerkorian Street","40.191236,44.471044"
17,"դավթաշեն 4-րդ թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Davtashen, Davtashen 4th Block","40.222106,44.499853"
18,"դերենիկ դեմիրճյանի փողոց, երևան","Armenia, Yerevan, The Administrative District of Kentron, Poqr Kentron District, Old Yerevan Quarter","40.180102,44.512268"
19,"աճառյան փողոց, երևան","Armenia, Yerevan, Acharyan Street","40.223249,44.56022"
20,"մոնթե մելքոնյան փողոց, երևան","Armenia, Yerevan, Monte Melkonyan Street","40.178255,44.480521"
21,"հին երևանցու փողոց, երևան","Armenia, Yerevan, Hin Yerevantsu Street","40.183747,44.513481"
22,"վիկտոր համբարձումյանի փողոց 47, երևան","Armenia, Armavir Region, Village of Parakar, Viktor Hambardzumyan Street","40.160993,44.393008"
23,"զաքարիա քանաքեռցու փողոց, երևան","Armenia, Yerevan, Zakaria Kanakertsi Street","40.222884,44.544796"
24,"տպագրիչների փողոց 8, երևան","Armenia, Yerevan, Tpagrichner Street, 8","40.177077,44.520353"
25,"հակոբ հակոբյան փողոց, երևան","Armenia, Yerevan, Hakob Hakobyan Street","40.200784,44.491059"
26,"նիկողայոս տիգրանյան փողոց, երևան","Armenia, Yerevan, Nikoghayos Tigranyan Street","40.208718,44.52047"
