Type,New_building,nFloor,Floor,Height,Sqm,Rooms,Bathrooms,Renovation,Balcony,District,Price_USD
1,0,9,6,2.8,68,2,1,2.0,0,Մալաթիա-Սեբաստիա,95000.0
2,1,12,6,3.0,46,2,1,2.0,2,Աջափնյակ,87000.0
0,0,4,2,3.0,50,1,1,1.0,0,Կենտրոն,130000.0
0,0,5,1,2.75,70,3,1,2.0,3,Արաբկիր,145000.0
2,1,8,5,3.0,47,2,1,2.0,2,Արաբկիր,160000.0
0,0,5,5,2.75,75,3,1,2.0,2,Աջափնյակ,150000.0
0,0,5,3,2.75,36,1,1,1.0,0,Շենգավիթ,65000.0
0,0,4,2,3.5,120,3,2,3.0,1,Շենգավիթ,155000.0
1,0,16,13,3.0,92,3,1,1.5,1,Կենտրոն,115000.0
1,0,4,2,2.6,31,1,1,2.0,2,Շենգավիթ,61000.0
2,1,15,10,3.0,98,3,2,2.0,2,Քանաքեռ-Զեյթուն,205000.0
2,0,16,16,2.8,80,3,2,2.0,2,Աջափնյակ,98000.0
2,1,17,6,3.0,65,3,1,2.0,2,Դավթաշեն,175000.0
2,1,16,4,3.0,98,3,1,0.0,3,Քանաքեռ-Զեյթուն,147000.0
1,0,9,1,2.75,85,3,1,1.5,1,Շենգավիթ,107000.0
2,1,16,7,3.0,71,3,1,0.0,2,Աջափնյակ,120000.0
2,1,15,13,3.0,94,3,3,4.0,3,Դավթաշեն,172000.0
1,0,9,5,2.75,85,3,1,1.5,1,Կենտրոն,205000.0
0,0,5,5,2.75,81,3,1,1.5,3,Ավան,98000.0
2,1,17,10,2.8,100,3,2,2.0,2,Մալաթիա-Սեբաստիա,145000.0
1,0,11,5,2.8,69,3,1,2.0,2,Կենտրոն,225000.0
1,0,9,7,2.75,93,4,2,1.5,0,Քանաքեռ-Զեյթուն,90000.0
1,0,14,6,2.7,67,2,1,0.5,0,Արաբկիր,103000.0
2,1,12,11,3.0,94,3,1,4.0,2,Արաբկիր,265000.0
0,0,4,4,3.0,66,2,1,1.0,2,Արաբկիր,168000.0
2,1,19,11,3.2,63,2,1,3.0,2,Կենտրոն,350000.0
0,0,5,2,3.2,90,3,2,1.0,3,Արաբկիր,169000.0
2,1,5,4,3.0,138,4,3,0.0,2,Նորք-Մարաշ,280000.0
1,0,10,3,2.8,78,3,2,3.0,0,Կենտրոն,135000.0
1,0,9,3,2.7,53,1,1,1.5,0,Մալաթիա-Սեբաստիա,76000.0
1,0,9,6,2.7,74,3,1,2.0,0,Դավթաշեն,135000.0
1,0,9,4,2.75,76,4,1,2.0,1,Նոր Նորք,105000.0
1,0,4,2,2.8,53,2,1,1.5,0,Շենգավիթ,77000.0
2,1,14,12,3.0,133,4,2,2.0,2,Կենտրոն,515000.0
1,0,16,10,2.8,71,3,2,2.0,2,Արաբկիր,108000.0
1,0,14,5,2.5,40,2,1,2.0,1,Կենտրոն,90000.0
1,0,10,7,2.8,95,3,1,0.5,0,Կենտրոն,207000.0
0,0,5,3,3.0,57,2,1,0.5,0,Արաբկիր,105000.0
1,0,9,5,2.75,45,1,1,1.5,0,Մալաթիա-Սեբաստիա,68000.0
0,0,3,2,3.0,52,2,1,2.0,2,Կենտրոն,192000.0
1,1,9,6,2.8,87,3,1,3.0,3,Մալաթիա-Սեբաստիա,97000.0
1,0,9,1,2.75,75,3,2,3.0,0,Մալաթիա-Սեբաստիա,120000.0
2,1,10,3,3.0,90,3,2,0.0,2,Մալաթիա-Սեբաստիա,165000.0
2,1,8,4,3.0,54,2,1,0.0,2,Արաբկիր,120000.0
